strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
ON676708	ON676708	ON676708.1	MPXV_USA_2021_MD	2021-11-XX	North America	USA	Maryland		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	A.1.1	0.999964504662566	7.0	597.0	0.0	good	good	good	good	good		False	Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON676703	ON676703	ON676703.1	MPXV_USA_2022_CA001	2022-05-XX	North America	USA	California		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9999594339000756	8.0	606.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ventura,J., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON954773	ON954773	ON954773.1	MPXV_USA_2022_CA002	2022-05-XX	North America	USA	California		Homo sapiens	2022-07-09		Gigante et al		IIb	hMPXV-1	B.1	1.0	0.0	608.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology
ON959135	ON959135	ON959135.1	MPXV_USA_2022_NY004	2022-05-XX	North America	USA	New York		Homo sapiens	2022-07-11		Gigante et al		IIb	hMPXV-1	B.1.14	1.0	0.0	611.0	0.0	good	good	good	good	good		False	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology
ON627808	ON627808	ON627808.1	MPX/human/USA/UT-UPHL-82200022/2022	2022-05-20	North America	USA			Homo sapiens	2022-05-29		Young et al		IIb	hMPXV-1	B.1	0.9998884432252078	22.0	605.0	0.0	good	good	good	good	good		False	Young,E.L., Hergert,J., Oakeson,K.F.	Department of Health, Utah Public Health Laboratory, USA
OP150925	OP150925	OP150925.1	MPXV_USA_2022_GA001	2022-05-XX	North America	USA	Georgia		Homo sapiens	2022-08-04	SRR20715516	Gigante et al		IIb	hMPXV-1	B.1.5	0.9999898584750188	0.0	607.0	2.0	good	good	good	good	good		False	Gigante,C., Xia,D., Seabolt,M., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Plipat,N., Li,Y.	CDC, DHCPP-PRB
OP150927	OP150927	OP150927.1	MPXV_USA_2022_WA001	2022-05-XX	North America	USA	Washington		Homo sapiens	2022-08-04	SRR20715517	Gigante et al		IIb	hMPXV-1	B.1	0.9998580186502644	27.0	606.0	1.0	good	good	good	good	good		False	Gigante,C., Pavlick,J., Seabolt,M., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Parrott,T., Li,Y.	CDC, DHCPP-PRB
ON694332	ON694332	ON694332.1	MPXV/Germany/2022/RKI023	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		IIb	hMPXV-1	B.1.1	0.9993458716387184	111.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON682269	ON682269	ON682269.3	MPXV/Germany/2022/RKI07	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-06		Brinkmann et al		IIb	hMPXV-1	B.1	0.998575115740154	281.0	603.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON682267	ON682267	ON682267.2	MPXV/Germany/2022/RKI010	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-06		Brinkmann et al		IIb	hMPXV-1	B.1	0.999396579263624	119.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON682263	ON682263	ON682263.4	MPXV/Germany/2022/RKI03	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-06		Brinkmann et al		IIb	hMPXV-1	B.1	0.9987830170022668	240.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Michel,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
