"","strain_original","accession","authors","institution","date"
"1","MPXV_USA_2022_MA0069","OP890427","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"2","hMPX/Human/USA/CA-LACPHL-MA00081/2022","OP442549","Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-13"
"3","NY-NYCPHL-001092","OQ469269","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-05"
"4","MPXV/Germany/2022/RKI474","OP626112","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"5","MPXV/Germany/2022/RKI429","OP594193","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"6","MPXV_USA_2022_DC0026","OQ427139","Gigante,C., Hauser,J., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mangla,A., Li,Y.","CDC, DHCPP-PRB","2022-06-XX"
"7","MPXV/Germany/2022/ON/RKI687","OQ339206","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"8","MPXV/Germany/2022/RKI198","OP215209","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"9","Monkeypox/PT0348/2022","OP414377","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-05-25"
"10","LBMB-UTP_MP-004_TOL","OQ148463","Orjuela,M., Tabares,F.A., Anacona,J.D., Lopez,P.A., Zuluaga-Velez,A., Sepulveda-Arias,J.C.","Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud","2022-09-21"
