strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
ON676708	ON676708	ON676708.1	MPXV_USA_2021_MD	2021-11-XX	North America	USA	Maryland		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	A.1.1	0.999964504662566	7.0	597.0	0.0	good	good	good	good	good		False	Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
OP150926	OP150926	OP150926.1	MPXV_USA_2022_PA001	2022-05-XX	North America	USA	Pennsylvania		Homo sapiens	2022-08-04	SRR20715522	Gigante et al		IIb	hMPXV-1	B.1	0.9996501173881516	0.0	606.0	3.0	good	good	good	good	good		False	Gigante,C., Goldoft,M., Seabolt,M., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Holshue,M., Li,Y.	CDC, DHCPP-PRB
ON676705	ON676705	ON676705.1	MPXV_USA_2022_UT001	2022-05-XX	North America	USA	Utah		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9999188678001512	5.0	606.0	1.0	good	good	good	good	good		False	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON563414	ON563414	ON563414.3	MPXV_USA_2022_MA001	2022-05-XX	North America	USA	Massachusetts		Homo sapiens	2022-05-20		Gigante et al		IIb	hMPXV-1	B.1	1.0	0.0	605.0	0.0	good	good	good	good	good		False	Gigante,C.M., Smole,S., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Brown,C., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON959131	ON959131	ON959131.1	MPXV_USA_2022_IL001	2022-05-XX	North America	USA	Illinois		Homo sapiens	2022-07-11		Gigante et al		IIb	hMPXV-1	B.1	1.0	0.0	606.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology
ON676704	ON676704	ON676704.1	MPXV_USA_2022_FL002	2022-05-XX	North America	USA	Florida		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9999746461875472	5.0	607.0	0.0	good	good	good	good	good		False	Gigante,C.M., Lee,P., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON954773	ON954773	ON954773.1	MPXV_USA_2022_CA002	2022-05-XX	North America	USA	California		Homo sapiens	2022-07-09		Gigante et al		IIb	hMPXV-1	B.1	1.0	0.0	608.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology
ON676706	ON676706	ON676706.1	MPXV_USA_2022_UT002	2022-05-XX	North America	USA	Utah		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9994929237509445	8.0	605.0	2.0	good	good	good	good	good		False	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
OP743357	OP743357	OP743357.1	MPXV/Human/USA/UT-UPHL-82200022/2022	2022-05-21	North America	USA			Homo sapiens	2022-10-31		Iverson et al		IIb	hMPXV-1	B.1	0.9326602741254202	257.0	551.0	0.0	good	good	good	good	good		False	Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.	Utah Public Health Laboratory
ON959133	ON959133	ON959133.1	MPXV_USA_2022_NY002	2022-05-XX	North America	USA	New York		Homo sapiens	2022-07-11		Gigante et al		IIb	hMPXV-1	B.1.14	1.0	0.0	608.0	0.0	good	good	good	good	good		False	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology
