	strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution	region_coarse
0	ON676708	ON676708	ON676708.1	MPXV_USA_2021_MD	2021-11-XX	North America	USA	Maryland		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	A.1.1	0.999964504662566	7.0	597.0	0.0	good	good	good	good	good		False	Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA	North America
1	ON954773	ON954773	ON954773.1	MPXV_USA_2022_CA002	2022-05-XX	North America	USA	California		Homo sapiens	2022-07-09		Gigante et al		IIb	hMPXV-1	B.1	1.0	0.0	608.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology	North America
2	ON676705	ON676705	ON676705.1	MPXV_USA_2022_UT001	2022-05-XX	North America	USA	Utah		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9999188678001512	5.0	606.0	1.0	good	good	good	good	good		False	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA	North America
3	ON676706	ON676706	ON676706.1	MPXV_USA_2022_UT002	2022-05-XX	North America	USA	Utah		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9994929237509445	8.0	605.0	2.0	good	good	good	good	good		False	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA	North America
4	ON959131	ON959131	ON959131.1	MPXV_USA_2022_IL001	2022-05-XX	North America	USA	Illinois		Homo sapiens	2022-07-11		Gigante et al		IIb	hMPXV-1	B.1	1.0	0.0	606.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology	North America
5	ON676704	ON676704	ON676704.1	MPXV_USA_2022_FL002	2022-05-XX	North America	USA	Florida		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9999746461875472	5.0	607.0	0.0	good	good	good	good	good		False	Gigante,C.M., Lee,P., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA	North America
6	ON676703	ON676703	ON676703.1	MPXV_USA_2022_CA001	2022-05-XX	North America	USA	California		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	B.1	0.9999594339000756	8.0	606.0	0.0	good	good	good	good	good		False	Gigante,C.M., Ventura,J., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA	North America
7	OP150927	OP150927	OP150927.1	MPXV_USA_2022_WA001	2022-05-XX	North America	USA	Washington		Homo sapiens	2022-08-04	SRR20715517	Gigante et al		IIb	hMPXV-1	B.1.2	0.9998580186502644	27.0	606.0	1.0	good	good	good	good	good		False	Gigante,C., Pavlick,J., Seabolt,M., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Parrott,T., Li,Y.	CDC, DHCPP-PRB	North America
8	ON627808	ON627808	ON627808.1	MPX/human/USA/UT-UPHL-82200022/2022	2022-05-20	North America	USA			Homo sapiens	2022-05-29		Young et al		IIb	hMPXV-1	B.1	0.9998884432252078	22.0	605.0	0.0	good	good	good	good	good		False	Young,E.L., Hergert,J., Oakeson,K.F.	Department of Health, Utah Public Health Laboratory, USA	North America
9	ON959133	ON959133	ON959133.1	MPXV_USA_2022_NY002	2022-05-XX	North America	USA	New York		Homo sapiens	2022-07-11		Gigante et al		IIb	hMPXV-1	B.1.14	1.0	0.0	608.0	0.0	good	good	good	good	good		False	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology	North America
