strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
OP415278	OP415278	OP415278.1	MPX_ev2D41_9000352	2022-08-XX	Europe	United Kingdom			Homo sapiens	2022-09-12		Groves et al		IIb	hMPXV-1	B.1.7	0.9999847877125284	0.0	607.0	3.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	UKHSA, Research and Evaluation
OP442937	OP442937	OP442937.1	MpxV/human/USA/OH-UW-070832/2022	2022-07-XX	North America	USA	Ohio		Homo sapiens	2022-09-15	SRR20913441	Sereewit et al		IIb	hMPXV-1	B.1.8	1.0	0.0	613.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine
OP890391	OP890391	OP890391.1	MPXV_USA_2022_MA0033	2022-XX-XX	North America	USA	Massachusetts		Homo sapiens	2022-11-24		Doucette et al		IIb	hMPXV-1	B.1.7	0.9790222555765712	2588.0	598.0	1.0	good	good	good	good	good		False	Doucette,M., Gagne,L., Smole,S.C.	Massachusetts State Public Health Laboratory, DPH
OX344878	OX344878	OX344878.1	MPXV_2317_SP_2022	2022-XX-XX	Europe	Spain			Homo sapiens	2022-10-06	ERR10297641	Cuesta et al		IIb	hMPXV-1	B.1	1.0	0.0	610.0	0.0	good	good	good	good	good		False	Cuesta,I.	
ON682265	ON682265	ON682265.4	MPXV/Germany/2022/RKI04	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-06		Brinkmann et al		IIb	hMPXV-1	B.1	0.999122758089134	173.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
OP484694	OP484694	OP484694.1	MPXV/Germany/2022/RKI373	2022-09-XX	Europe	Germany			Homo sapiens	2022-09-21		Brinkmann et al		IIb	hMPXV-1	B.1.10	0.9999949292375094	1.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses
OQ054247	OQ054247	OQ054247.1	MPXV_USA_2022_FL0029	2022-09-XX	North America	USA	Florida		Homo sapiens	2022-12-15	SRR22708681	Gigante et al		IIb	hMPXV-1	B.1	0.9997920987378872	41.0	609.0	0.0	good	good	good	good	good		False	Gigante,C., Lee,P., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Stanek,D., Li,Y.	CDC, DHCPP-PRB
OP890537	OP890537	OP890537.1	MPXV/Human/USA/CA-LACPHL-MA00303/2022	2022-09-29	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al		IIb	hMPXV-1	B.1.2	0.9902235699182086	1189.0	613.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OQ054221	OQ054221	OQ054221.1	MPXV_USA_2022_IA0002	2022-09-XX	North America	USA	Iowa		Homo sapiens	2022-12-15	SRR22708631	Gigante et al		IIb	hMPXV-1	B.1.3	0.9997920987378872	41.0	608.0	0.0	good	good	good	good	good		False	Gigante,C., Hottel,W., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nelson,M., Li,Y.	CDC, DHCPP-PRB
OP169345	OP169345	OP169345.1	MpxV/human/USA/WA-UW-075687/2022	2022-07-XX	North America	USA	Washington		Homo sapiens	2022-08-08	SRR20913443	Sereewit et al		IIb	hMPXV-1	B.1.3	1.0	0.0	610.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine
